Lat,Lng,What Dinosaurs Eat,Accepted Name,Country,Cc,Diet,Early Interval,Formation,Geological Interval,Geological Time Period,Ref Author,Ref Pubyr,State,Max Ma,Min Ma
42.017776,-106.048615,FLESH,Allosaurus fragilis,United States,US,carnivore,Kimmeridgian,Morrison,Kimmeridgian,Jurassic,Osborn,1903,Wyoming,157.3,145
43.380001,-108.120003,PLANT,Camarasaurus lentus,United States,US,herbivore,Late Kimmeridgian,Morrison,Kimmeridgian,Jurassic,Ikejiri et al.,2005,Wyoming,155.7,150.8
48.630001,-113.75,PLANT,Prosaurolophus blackfeetensis,United States,US,herbivore,Campanian,Two Medicine,Campanian,Cretaceous,Database,2006,Montana,83.6,72.1
48.633301,-113.75,PLANT,Maiasaura peeblesorum,United States,US,herbivore,Campanian,Two Medicine,Campanian,Cretaceous,Varricchio,1993,Montana,83.6,72.1
48.633301,-113.75,PLANT,Orodromeus makelai,United States,US,herbivore,Campanian,Two Medicine,Campanian,Cretaceous,Horner and Weishampel,1988,Montana,83.6,72.1
50.728848,-111.525871,FLESH,Tyrannosaurus rex,Canada,CA,carnivore,Late Campanian,Dinosaur Park,Campanian,Cretaceous,Currie,1994,Alberta,83.5,70.6
50.727234,-111.524582,FLESH,Tyrannosaurus rex,Canada,CA,carnivore,Late Campanian,Dinosaur Park,Campanian,Cretaceous,Wood et al.,1988,Alberta,83.5,70.6
50.727234,-111.524582,PLANT,Centrosaurus apertus,Canada,CA,herbivore,Late Campanian,Dinosaur Park,Campanian,Cretaceous,Getty et al.,1997,Alberta,83.5,70.6
50.750553,-111.484657,FLESH,Gorgosaurus libratus,Canada,CA,carnivore,Late Campanian,Dinosaur Park,Campanian,Cretaceous,Ryan,1994,Alberta,83.5,70.6
48.633301,-113.75,PLANT,Prosaurolophus blackfeetensis,United States,US,herbivore,Late Santonian,Two Medicine,Santonian,Cretaceous,Varricchio,1993,Montana,85.8,70.6
48.633301,-113.75,PLANT and ANIMAL,Troodon formosus,United States,US,"carnivore, omnivore",Late Santonian,Two Medicine,Santonian,Cretaceous,Varricchio,1993,Montana,85.8,70.6
48.633301,-113.75,FLESH,Daspletosaurus horneri,United States,US,carnivore,Late Santonian,Two Medicine,Santonian,Cretaceous,Carr et al.,2017,Montana,85.8,70.6
48.479202,-112.701118,PLANT,Maiasaura peeblesorum,United States,US,herbivore,Campanian,Two Medicine,Campanian,Cretaceous,Varricchio,1993,Montana,83.6,72.1
55.0639,-119.108101,PLANT,Pachyrhinosaurus lakustai,Canada,CA,herbivore,Late Campanian,Wapiti,Campanian,Cretaceous,Currie et al.,2008,Alberta,83.5,70.6
50.736092,-111.494217,PLANT,Styracosaurus albertensis,Canada,CA,herbivore,Late Campanian,Dinosaur Park,Campanian,Cretaceous,Eberth and Getty,2005,Alberta,83.5,70.6
50.750553,-111.484657,PLANT,Centrosaurus apertus,Canada,CA,herbivore,Late Campanian,Dinosaur Park,Campanian,Cretaceous,Currie,1980,Alberta,83.5,70.6
40.441387,-109.300552,PLANT,Diplodocus longus,United States,US,herbivore,Early Tithonian,Morrison,Tithonian,Jurassic,Gilmore,1932,Utah,150.8,145
40.441387,-109.300552,PLANT,Camarasaurus lentus,United States,US,herbivore,Early Tithonian,Morrison,Tithonian,Jurassic,Gilmore,1932,Utah,150.8,145
48.633301,-113.75,PLANT,Hypacrosaurus stebingeri,United States,US,herbivore,Campanian,Two Medicine,Campanian,Cretaceous,Horner and Currie,1994,Montana,83.6,72.1
48.910831,-112.640831,PLANT,Prosaurolophus blackfeetensis,United States,US,herbivore,Late Campanian,Two Medicine,Campanian,Cretaceous,Rogers,1991,Montana,83.5,70.6
48.966599,-112.650002,PLANT,Einiosaurus procurvicornis,United States,US,herbivore,Campanian,Two Medicine,Campanian,Cretaceous,Sampson,1994,Montana,83.6,72.1
48.966599,-112.650002,PLANT,Einiosaurus procurvicornis,United States,US,herbivore,Campanian,Two Medicine,Campanian,Cretaceous,Sampson,1995,Montana,83.6,72.1
32.1721,-101.247002,FLESH,Chindesaurus bryansmalli,United States,US,carnivore,Norian,Colorado City,Norian,Triassic,Long and Murry,1995,Texas,228,208.5
29.138056,-103.196945,PLANT,Agujaceratops mariscalensis,United States,US,herbivore,Late Campanian,Aguja,Campanian,Cretaceous,Lehman,1982,Texas,83.5,70.6
43.116329,-104.637001,FLESH,Potamornis skutchi,United States,US,carnivore,Late Maastrichtian,Lance,Maastrichtian,Cretaceous,Elzanowski et al.,2001,Wyoming,70.6,66
34.400002,-96.099998,PLANT,Sauroposeidon proteles,United States,US,herbivore,Aptian,Antlers,Aptian,Cretaceous,Wedel et al.,2000,Oklahoma,125,100.5
46.465099,-109.297203,FLESH,Dromaeosaurus albertensis,United States,US,carnivore,Middle Campanian,Judith River,Campanian,Cretaceous,Fiorillo,2005,Montana,83.5,70.6
46.465099,-109.297203,FLESH,Saurornitholestes langstoni,United States,US,carnivore,Middle Campanian,Judith River,Campanian,Cretaceous,Fiorillo,2005,Montana,83.5,70.6
46.465099,-109.297203,PLANT and ANIMAL,Troodon formosus,United States,US,"carnivore, omnivore",Middle Campanian,Judith River,Campanian,Cretaceous,Fiorillo,2005,Montana,83.5,70.6
46.465099,-109.297203,FLESH,Richardoestesia gilmorei,United States,US,carnivore,Middle Campanian,Judith River,Campanian,Cretaceous,Fiorillo,2005,Montana,83.5,70.6
46.200001,-109.900002,FLESH,Dromaeosaurus albertensis,United States,US,carnivore,Middle Campanian,Judith River,Campanian,Cretaceous,Fiorillo and Currie,1994,Montana,83.5,70.6
46.200001,-109.900002,FLESH,Saurornitholestes langstoni,United States,US,carnivore,Middle Campanian,Judith River,Campanian,Cretaceous,Fiorillo and Currie,1994,Montana,83.5,70.6
46.200001,-109.900002,PLANT and ANIMAL,Troodon formosus,United States,US,"carnivore, omnivore",Middle Campanian,Judith River,Campanian,Cretaceous,Fiorillo and Currie,1994,Montana,83.5,70.6
46.200001,-109.900002,FLESH,Richardoestesia gilmorei,United States,US,carnivore,Middle Campanian,Judith River,Campanian,Cretaceous,Fiorillo and Currie,1994,Montana,83.5,70.6
46.200001,-109.900002,PLANT,Avaceratops lammersi,United States,US,herbivore,Middle Campanian,Judith River,Campanian,Cretaceous,Dodson,1986,Montana,83.5,70.6
25.366671,-101.800003,PLANT,Latirhinus uitstlani,Mexico,MX,herbivore,Late Campanian,Cerro del Pueblo,Campanian,Cretaceous,Prieto-MÃ¡rquez and Serrano BraÃ±as,2012,Coahuila,83.5,70.6
36.890354,120.663673,PLANT,Ovaloolithus chinkangkouensis,China,CN,herbivore,Campanian,Jingangkou,Campanian,Cretaceous,Chao and Chiang,1974,Shandong,83.6,72.1
44.685757,90.068756,FLESH,Elongatoolithus andrewsi,China,CN,carnivore,Campanian,Subashi,Campanian,Cretaceous,Dauphin,1994,Xinjiang,83.6,66
45.135834,-102.497498,PLANT,Anatotitan copei,United States,US,herbivore,Maastrichtian,Hell Creek,Maastrichtian,Cretaceous,Lull and Wright,1942,South Dakota,72.1,66
46.466389,-104.021111,PLANT,Triceratops prorsus,United States,US,herbivore,Maastrichtian,Hell Creek,Maastrichtian,Cretaceous,Holland,1997,North Dakota,72.1,66
28.700001,104.516701,PLANT,Mamenchisaurus constructus,China,CN,herbivore,Oxfordian,Shangshaximiao,Oxfordian,Jurassic,Young,1954,Sichuan,163.5,157.3
33.014442,-97.096664,PLANT,Protohadros byrdi,United States,US,herbivore,Middle Cenomanian,Woodbine,Cenomanian,Cretaceous,Head,1998,Texas,99.6,93.5
50.733334,-111.300003,PLANT,Vagaceratops irvinensis,Canada,CA,herbivore,Late Campanian,Dinosaur Park,Campanian,Cretaceous,Holmes et al.,2001,Alberta,83.5,70.6
41.799999,120.73333,FLESH,Confuciusornis dui,China,CN,carnivore,Late Barremian,Yixian,Barremian,Cretaceous,Hou et al.,1999,Liaoning,130,122.46
29.821943,118.337502,PLANT,Wannanosaurus yansiensis,China,CN,herbivore,Early Maastrichtian,Xiaoyan,Maastrichtian,Cretaceous,Hou,1977,Anhui,70.6,66
29.200001,-103.550003,PLANT,Agujaceratops mariscalensis,United States,US,herbivore,Late Campanian,Aguja,Campanian,Cretaceous,Forster et al.,1993,Texas,83.5,70.6
45.438999,-108.141403,PLANT,Tenontosaurus tilletti,United States,US,herbivore,Albian,Cloverly,Albian,Cretaceous,Ostrom,1970,Montana,113,100.5
45.441387,-108.161667,PLANT,Tenontosaurus tilletti,United States,US,herbivore,Albian,Cloverly,Albian,Cretaceous,Ostrom,1970,Montana,113,100.5
24.671667,102.591942,FLESH,Dilophosaurus sinensis,China,CN,carnivore,Hettangian,Lufeng,Hettangian,Jurassic,Hu,1993,Yunnan,201.3,190.8
34.166668,-94.76667,FLESH,Acrocanthosaurus atokensis,United States,US,carnivore,Aptian,Antlers,Aptian,Cretaceous,Currie and Carpenter,2000,Oklahoma,125,113
34.18,-95.806389,FLESH,Acrocanthosaurus atokensis,United States,US,carnivore,Aptian,Antlers,Aptian,Cretaceous,Stovall and Langston,1950,Oklahoma,125,113
34.18,-95.792221,FLESH,Acrocanthosaurus atokensis,United States,US,carnivore,Aptian,Antlers,Aptian,Cretaceous,Stovall and Langston,1950,Oklahoma,125,113
36.780556,-110.525002,FLESH,Segisaurus halli,United States,US,carnivore,Pliensbachian,Navajo Sandstone,Pliensbachian,Jurassic,Camp,1936,Arizona,190.8,174.1
48.650002,-112.966667,PLANT,Orodromeus makelai,United States,US,herbivore,Middle Campanian,Two Medicine,Campanian,Cretaceous,Database,2006,Montana,83.5,70.6
43.049999,-104.48333,PLANT,Edmontosaurus annectens,United States,US,herbivore,Late Maastrichtian,Lance,Maastrichtian,Cretaceous,Derstler,1995,Wyoming,70.6,66
43.049999,-104.48333,PLANT and ANIMAL,Troodon formosus,United States,US,"carnivore, omnivore",Late Maastrichtian,Lance,Maastrichtian,Cretaceous,Derstler,1995,Wyoming,70.6,66
43.049999,-104.48333,FLESH,Tyrannosaurus rex,United States,US,carnivore,Late Maastrichtian,Lance,Maastrichtian,Cretaceous,Derstler,1995,Wyoming,70.6,66
46.2575,-109.601669,PLANT,Gryposaurus notabilis,United States,US,herbivore,Late Campanian,Bearpaw Shale,Campanian,Cretaceous,Horner,1979,Montana,83.5,70.6
47.768101,-112.287567,PLANT,Maiasaura peeblesorum,United States,US,herbivore,Middle Campanian,Two Medicine,Campanian,Cretaceous,Horner and Makela,1979,Montana,83.5,70.6
48.950001,-110.616669,PLANT,Brachylophosaurus canadensis,United States,US,herbivore,Middle Campanian,Judith River,Campanian,Cretaceous,Horner,1988,Montana,83.5,70.6
47.8125,-112.182777,PLANT and ANIMAL,Troodon formosus,United States,US,"carnivore, omnivore",Campanian,Two Medicine,Campanian,Cretaceous,Horner and Weishampel,1996,Montana,83.6,72.1
39.783333,-75.166664,FLESH,Telmatornis priscus,United States,US,carnivore,Late Maastrichtian,Hornerstown,Maastrichtian,Cretaceous,Olson and Parris,1987,New Jersey,70.6,61.7
39.783333,-75.166664,FLESH,Tytthostonyx glauconiticus,United States,US,carnivore,Late Maastrichtian,Hornerstown,Maastrichtian,Cretaceous,Olson and Parris,1987,New Jersey,70.6,61.7
38.826099,-109.567902,FLESH,Utahraptor ostrommaysi,United States,US,carnivore,Barremian,Cedar Mountain,Barremian,Cretaceous,Kirkland et al.,1993,Utah,129.4,125
38.826099,-109.567902,PLANT,Gastonia burgei,United States,US,herbivore,Barremian,Cedar Mountain,Barremian,Cretaceous,Kirkland,1998,Utah,129.4,125
38.718056,-109.691666,FLESH,Utahraptor ostrommaysi,United States,US,carnivore,Early Aptian,Cedar Mountain,Aptian,Cretaceous,Britt et al.,1996,Utah,125.45,122.46
38.718056,-109.691666,PLANT,Moabosaurus utahensis,United States,US,herbivore,Early Aptian,Cedar Mountain,Aptian,Cretaceous,Britt et al.,2017,Utah,125.45,122.46
38.718056,-109.691666,PLANT,Moabosaurus utahensis,United States,US,herbivore,Early Aptian,Cedar Mountain,Aptian,Cretaceous,Britt et al.,2017,Utah,125.45,122.46
38.718056,-109.691666,PLANT,Gastonia burgei,United States,US,herbivore,Early Aptian,Cedar Mountain,Aptian,Cretaceous,Kirkland,1998,Utah,125.45,122.46
39.155956,-110.857689,PLANT,Eolambia caroljonesa,United States,US,herbivore,Late Albian,Cedar Mountain,Albian,Cretaceous,Kirkland,1998,Utah,105.3,99.6
39.155956,-110.857689,PLANT,Animantarx ramaljonesi,United States,US,herbivore,Late Albian,Cedar Mountain,Albian,Cretaceous,Carpenter et al.,1999,Utah,105.3,99.6
42.832222,-108.023613,PLANT,Stegopelta landerensis,United States,US,herbivore,Late Albian,Frontier,Albian,Cretaceous,Moodie,1910,Wyoming,105.3,93.5
41.316387,119.238609,FLESH,Epidendrosaurus ningchengensis,China,CN,carnivore,Early Callovian,Tiaojishan,Callovian,Jurassic,Zhang et al.,2002,Nei Mongol,164.7,161.2
33.00111,-97.132774,FLESH,Magnoavipes lowei,United States,US,carnivore,Early Cenomanian,Woodbine,Cenomanian,Cretaceous,Lee,1997,Texas,99.6,93.5
33.00111,-97.132774,FLESH,Fuscinapedis woodbinensis,United States,US,carnivore,Early Cenomanian,Woodbine,Cenomanian,Cretaceous,Lee,1997,Texas,99.6,93.5
33.00111,-97.132774,PLANT,Caririchnium protohadrosaurichnos,United States,US,herbivore,Early Cenomanian,Woodbine,Cenomanian,Cretaceous,Lee,1997,Texas,99.6,93.5
28.8333,104.133301,PLANT,Mamenchisaurus hochuanensis,China,CN,herbivore,Oxfordian,Shangshaximiao,Oxfordian,Jurassic,Dong et al.,1983,Sichuan,163.5,157.3
31.416668,107.633331,FLESH,Xuanhanosaurus qilixiaensis,China,CN,carnivore,Middle Jurassic,Xiashaximiao,Jurassic,Jurassic,Dong,1984,Sichuan,174.1,163.5
29.411388,104.852501,PLANT,Shunosaurus lii,China,CN,herbivore,Oxfordian,Shangshaximiao,Oxfordian,Jurassic,Dong and Tang,1984,Sichuan,163.5,157.3
38.122501,-109.319168,PLANT,Dystrophaeus viaemalae,United States,US,herbivore,Late Oxfordian,Morrison,Oxfordian,Jurassic,Gillette,1993,Utah,161.2,155.7
38.539501,-105.224701,PLANT,Diplodocus longus,United States,US,herbivore,Kimmeridgian,Morrison,Kimmeridgian,Jurassic,Marsh,1878,Colorado,157.3,145
38.893333,-101.102776,PLANT,Claosaurus agilis,United States,US,herbivore,Late Coniacian,Niobrara,Coniacian,Cretaceous,Marsh,1872,Kansas,89.3,70.6
42.893055,-105.924446,PLANT,Nodosaurus textilis,United States,US,herbivore,Middle Cenomanian,Frontier,Cenomanian,Cretaceous,Marsh,1889,Wyoming,99.6,93.5
51.840279,-112.783333,PLANT,Anchiceratops ornatus,Canada,CA,herbivore,Maastrichtian,Horseshoe Canyon,Maastrichtian,Cretaceous,Sternberg,1929,Alberta,72.1,66
46.099998,85.666664,PLANT,Psittacosaurus mongoliensis,China,CN,herbivore,Early Cretaceous,,Cretaceous,Cretaceous,Cheng,1982,Xinjiang,145,100.5
49.119999,-110.470001,FLESH,Saurornitholestes langstoni,Canada,CA,carnivore,Late Campanian,Dinosaur Park,Campanian,Cretaceous,Eberth and Brinkman,1997,Alberta,83.5,70.6
49.119999,-110.470001,FLESH,Saurornitholestes langstoni,Canada,CA,carnivore,Late Campanian,Dinosaur Park,Campanian,Cretaceous,Eberth and Brinkman,1997,Alberta,83.5,70.6
49.119999,-110.470001,PLANT and ANIMAL,Troodon formosus,Canada,CA,"carnivore, omnivore",Late Campanian,Dinosaur Park,Campanian,Cretaceous,Eberth and Brinkman,1997,Alberta,83.5,70.6
49.119999,-110.470001,FLESH,Saurornitholestes langstoni,Canada,CA,carnivore,Late Campanian,Dinosaur Park,Campanian,Cretaceous,Eberth and Brinkman,1997,Alberta,83.5,70.6
49.119999,-110.470001,PLANT and ANIMAL,Troodon formosus,Canada,CA,"carnivore, omnivore",Late Campanian,Dinosaur Park,Campanian,Cretaceous,Eberth and Brinkman,1997,Alberta,83.5,70.6
49.119999,-110.470001,FLESH,Saurornitholestes langstoni,Canada,CA,carnivore,Late Campanian,Dinosaur Park,Campanian,Cretaceous,Eberth and Brinkman,1997,Alberta,83.5,70.6
49.119999,-110.470001,FLESH,Richardoestesia gilmorei,Canada,CA,carnivore,Late Campanian,Dinosaur Park,Campanian,Cretaceous,Eberth and Brinkman,1997,Alberta,83.5,70.6
42.255554,-72.574997,FLESH,Podokesaurus holyokensis,United States,US,carnivore,Hettangian,Portland,Hettangian,Jurassic,Talbot,1911,Massachusetts,201.3,190.8
39.198002,-97.454498,PLANT,Silvisaurus condrayi,United States,US,herbivore,Albian,Dakota,Albian,Cretaceous,Eaton,1960,Kansas,113,100.5
51.549999,-112.865601,PLANT,Pachyrhinosaurus canadensis,Canada,CA,herbivore,Early Maastrichtian,Horseshoe Canyon,Maastrichtian,Cretaceous,Langston,1968,Alberta,70.6,66
50.809383,-111.327057,PLANT and ANIMAL,Troodon formosus,Canada,CA,"carnivore, omnivore",Late Campanian,Dinosaur Park,Campanian,Cretaceous,Russell,1969,Alberta,83.5,70.6
45.438999,-108.162003,FLESH,Deinonychus antirrhopus,United States,US,carnivore,Aptian,Cloverly,Aptian,Cretaceous,Ostrom,1976,Montana,125,100.5
44.949902,-108.873199,PLANT,Leptoceratops gracilis,United States,US,herbivore,Maastrichtian,"""Lance""",Maastrichtian,Cretaceous,Ostrom,1978,Wyoming,72.1,66
33.598999,-96.365997,FISH,Ichthyornis dispar,United States,US,piscivore,Early Coniacian,Ector Chalk,Coniacian,Cretaceous,Parris and Echols,1992,Texas,89.3,85.8
30.267,-97.742996,FISH,Ichthyornis dispar,United States,US,piscivore,Early Campanian,Pflugervile,Campanian,Cretaceous,Parris and Echols,1992,Texas,83.5,70.6
33.469002,-96.087997,FISH,Ichthyornis dispar,United States,US,piscivore,Early Campanian,Gober,Campanian,Cretaceous,Parris and Echols,1992,Texas,83.5,70.6
36.285702,-108.226997,PLANT,Pentaceratops sternbergii,United States,US,herbivore,Late Campanian,Fruitland,Campanian,Cretaceous,Rowe et al.,1981,New Mexico,83.5,70.6
36.271099,-108.209099,PLANT,Pentaceratops sternbergii,United States,US,herbivore,Late Campanian,Fruitland,Campanian,Cretaceous,Rowe et al.,1981,New Mexico,83.5,70.6
36.3148,-108.084198,PLANT,Pentaceratops sternbergii,United States,US,herbivore,Late Campanian,Kirtland,Campanian,Cretaceous,Rowe et al.,1981,New Mexico,83.5,70.6
35.694168,-111.014168,FLESH,Coelophysis kayentakatae,United States,US,carnivore,Sinemurian,Kayenta,Sinemurian,Jurassic,Rowe,1989,Arizona,199.3,182.7
35.694168,-111.014168,FLESH,Coelophysis kayentakatae,United States,US,carnivore,Sinemurian,Kayenta,Sinemurian,Jurassic,Rowe,1989,Arizona,199.3,182.7
35.679169,-111.027779,FLESH,Coelophysis kayentakatae,United States,US,carnivore,Sinemurian,Kayenta,Sinemurian,Jurassic,Rowe,1989,Arizona,199.3,182.7
38.806,-108.388,PLANT,Camarasaurus lewisi,United States,US,herbivore,Kimmeridgian,Morrison,Kimmeridgian,Jurassic,Jensen,1988,Colorado,157.3,152.1
32.866669,-97.300003,PLANT,Pawpawsaurus campbelli,United States,US,herbivore,Late Albian,Paw Paw,Albian,Cretaceous,Lee,1996,Texas,105.3,99.6
50.73,-111.800003,PLANT,Styracosaurus albertensis,Canada,CA,herbivore,Late Campanian,Dinosaur Park,Campanian,Cretaceous,Brown and Schlaikjer,1937,Alberta,83.5,70.6
36.269444,-108.166946,PLANT,Kritosaurus navajovius,United States,US,herbivore,Late Campanian,Kirtland,Campanian,Cretaceous,Brown,1910,New Mexico,83.5,70.6
36.920399,120.622902,PLANT,Tanius sinensis,China,CN,herbivore,Campanian,Jingangkou,Campanian,Cretaceous,Wiman,1929,Shandong,83.6,72.1
36.269444,-108.166946,PLANT,Naashoibitosaurus ostromi,United States,US,herbivore,Late Campanian,Kirtland,Campanian,Cretaceous,Hunt and Lucas,1993,New Mexico,83.5,70.6
